index,features,importance,cum_imp
388,AreaIncomeType_missing,0.12769600574788634,0.12769600574788634
387,AreaIncomeType_B,0.0483387566763194,0.17603476242420574
1034,PriceIndex2,0.0344369082101273,0.21047167063433303
1037,PriceIndex5,0.032674211660409964,0.243145882294743
1033,PriceIndex1,0.032180557339092856,0.27532643963383585
1038,PriceIndex6,0.03166485363991778,0.30699129327375363
1041,PriceIndex9,0.02972569501226192,0.33671698828601554
1039,PriceIndex7,0.028756365158014094,0.36547335344402965
1040,PriceIndex8,0.026762397817427702,0.3922357512614574
1042,NormalisedPopulation,0.023102991061124345,0.4153387423225817
1036,PriceIndex4,0.022915901166426687,0.4382546434890084
386,AreaIncomeType_A,0.022906900574183323,0.4611615440631917
1035,PriceIndex3,0.022579767509676812,0.48374131157286854
390,EnvRating_GREEN,0.013383820153160185,0.49712513172602874
389,EnvRating_missing,0.012610638292080405,0.5097357700181091
1025,PropertyAge_3,0.012362744714680806,0.5220985147327899
1015,BuildYear_2008,0.011058123867126185,0.5331566385999161
1027,PropertyAge_2,0.009415090235793908,0.54257172883571
1017,BuildYear_2002,0.008334121421582985,0.550905850257293
1028,PropertyAge_6,0.007892270204297301,0.5587981204615903
1031,PropertyAge_8,0.007132762396658594,0.5659308828582489
1044,day_cos,0.00690265547777481,0.5728335383360237
1030,PropertyAge_1,0.006699997538316783,0.5795335358743404
1029,PropertyAge_7,0.006696868641177191,0.5862304045155177
392,Channel_Direct,0.00660583188881184,0.5928362364043295
1046,month_cos,0.006589612563610533,0.59942584896794
1013,BuildYear_2007,0.006519239842415773,0.6059450888103558
1043,day_sin,0.0063333884342079766,0.6122784772445637
1045,month_sin,0.006035384633702554,0.6183138618782663
1011,BuildYear_2006,0.0060114656405589545,0.6243253275188253
1048,weekday_cos,0.005767787875596424,0.6300931153944217
1014,BuildYear_2004,0.005648769863216968,0.6357418852576386
1018,BuildYear_2001,0.005599505553519667,0.6413413908111583
1016,BuildYear_2003,0.005522299293145643,0.6468636901043039
732,SubModel_TMA3,0.004999102743142586,0.6518627928474465
1026,PropertyAge_5,0.004779730076930958,0.6566425229243775
1047,weekday_sin,0.0043063889219798895,0.6609489118463574
687,PlotType_32T2,0.0042682353320513,0.6652171471784087
697,Architecture_YIK5,0.003947839225183917,0.6691649864035927
686,PlotType_W62B,0.003924722171071398,0.6730897085746641
0,InteriorsStyle_K3BB,0.00392429171637323,0.6770140002910373
312,Material_C8A4,0.0038737307585114465,0.6808877310495488
1024,PropertyAge_4,0.003646815456928581,0.6845345465064774
685,PlotType_WHBI,0.0033735231671571113,0.6879080696736345
397,Zip_74135,0.003265234026618186,0.6911733037002527
384,Agency_CAT3,0.0032200131083429478,0.6943933168085956
1012,BuildYear_2005,0.0032147925383788525,0.6976081093469745
382,Agency_CAT1,0.0030010994270015644,0.700609208773976
698,Architecture_TP7R,0.0029119946378168707,0.7035212034117929
699,Architecture_I3Z9,0.0028570975603889495,0.7063783009721819
12,InteriorsStyle_F59U,0.0028161644424937564,0.7091944654146757
1032,PropertyAge_9,0.002785503285472364,0.711979968700148
727,SubModel_KT8F,0.0027516866642599714,0.714731655364408
393,Channel_Other,0.002714712353309578,0.7174463677177175
394,Zip_32824,0.0025895103491018166,0.7200358780668193
979,State_FL,0.002419604839438531,0.7224554829062578
321,Material_OZMT,0.0021857687028741498,0.724641251609132
1019,BuildYear_2009,0.002117715573911147,0.7267589671830431
315,Material_X7IX,0.0021128446769706306,0.7288718118600137
313,Material_ZCI3,0.002103600610890043,0.7309754124709037
536,InsurancePremiumIndex_834,0.0020154602237141637,0.7329908726946178
726,SubModel_FIVQ,0.001969046088763783,0.7349599187833816
