Cut-Off,F1,Precision,Recall,Acc,KS
0.01,0.427937598397023,0.2722637042433072,0.9993315508021391,0.29055733049343274,0.033647645533893544
0.02,0.43885949441505,0.2812735493594574,0.9979946524064172,0.3223287184948527,0.07605168478921076
0.03,0.4471788715486194,0.288312693498452,0.9959893048128342,0.34611288604898827,0.10715411873260217
0.04,0.45616186388718577,0.29594272076372313,0.9946524064171123,0.37025204117855876,0.13916666451281068
0.05,0.4650070455612964,0.30361889184215907,0.9926470588235294,0.3935037273695421,0.16954411053933416
0.060000000000000005,0.4715240216353802,0.3093945720250522,0.9906417112299465,0.4103656372026979,0.19122170156344098
0.06999999999999999,0.4779874213836478,0.3149840595111583,0.9906417112299465,0.42545260915867944,0.21176302587470242
0.08,0.4835596270243742,0.3201212908815248,0.9879679144385026,0.43965211217607386,0.229388890755564
0.09,0.48938992042440316,0.3253968253968254,0.9866310160427807,0.4533191338303159,0.24714334083736744
0.09999999999999999,0.49372384937238495,0.3293145791471311,0.9859625668449198,0.46308129215477456,0.26000799942104347
0.11,0.4979702300405954,0.3333333333333333,0.983957219251337,0.4731984380546681,0.2725024101648217
0.12,0.5037645448323067,0.33854645814167433,0.983957219251337,0.4852680156194533,0.2889354696138309
0.13,0.5090152565880721,0.34363295880149813,0.9812834224598931,0.49733759318423854,0.3036613828272203
0.14,0.5144965735371639,0.3489868891537545,0.9786096256684492,0.5095846645367412,0.31862895867956575
0.15000000000000002,0.5197719985749911,0.3542982030111705,0.9752673796791443,0.521476748313809,0.3326864226950941
0.16,0.5239467050774216,0.3585510103499261,0.9725935828877005,0.5307064252751154,0.34354573368518715
0.17,0.5286311579712779,0.3630461922596754,0.9719251336898396,0.5397586084487043,0.35544374171303916
0.18000000000000002,0.5326725403817916,0.36715587044534415,0.9699197860962567,0.5481008164714235,0.3655215260672572
0.19,0.5354563969635252,0.3702944942381562,0.9665775401069518,0.5546680866169684,0.37232911091410503
0.2,0.5404797601199401,0.37552083333333336,0.963903743315508,0.5647852325168619,0.3843967350989783
0.21000000000000002,0.5440729483282676,0.38004246284501064,0.9572192513368984,0.5740149094781682,0.3926953267356418
0.22,0.54716618635927,0.38393097870045834,0.9518716577540107,0.5816471423500178,0.399672527739511
0.23,0.5509492444788842,0.3878887070376432,0.9505347593582888,0.5885694000709976,0.4082437975409857
0.24000000000000002,0.555098845175181,0.3924716302241904,0.9478609625668449,0.5965566205182818,0.41741147005838675
0.25,0.5578553124383994,0.39558289069052277,0.945855614973262,0.6018814341498048,0.4233809895503524
0.26,0.5618290258449304,0.399830220713073,0.94451871657754,0.6088036918707845,0.43195225935182713
0.27,0.5637826961770624,0.40328151986183075,0.9364973262032086,0.615193468228612,0.43553067564738446
0.28,0.5678310316815597,0.40781796966161027,0.9344919786096256,0.6222932197373092,0.4439168215289103
0.29000000000000004,0.571076923076923,0.4119562000591891,0.93048128342246,0.6288604898828541,0.4502976198168534
0.3,0.573082489146165,0.4148458545345705,0.9264705882352942,0.6334753283635073,0.45402012907628014
0.31,0.5762570415188817,0.41886563542614497,0.9231283422459893,0.6395101171458999,0.46010272600625995
0.32,0.5790580319596299,0.4223926380368098,0.9204545454545454,0.6446574369897053,0.46540379630036466
0.33,0.5829444208739925,0.42697327532628965,0.9184491978609626,0.6510472133475328,0.4728232916260665
0.34,0.5886387995712754,0.43325970337645947,0.9177807486631016,0.659389421370252,0.4837546490980943
0.35000000000000003,0.5914884424281702,0.43696137887009256,0.9151069518716578,0.6643592474263401,0.48881405675324313
0.36000000000000004,0.5930283224400871,0.4398836457659987,0.9097593582887701,0.6684416045438409,0.4909580049779919
0.37,0.5952224413762875,0.442777958917509,0.9077540106951871,0.672168974085907,0.4947525607193534
0.38,0.5971207087486158,0.44650546538588937,0.9010695187165776,0.677138800141995,0.49725124902107254
0.39,0.6016150740242261,0.45273463875759623,0.8963903743315508,0.6847710330138446,0.5046552365838466
0.4,0.6055379028597366,0.4584192439862543,0.8917112299465241,0.6915157969471069,0.5108509109518407
0.41000000000000003,0.6090553895656171,0.46409807355516636,0.8856951871657754,0.6980830670926518,0.5159513495630688
0.42000000000000004,0.6083899695336302,0.468422952002887,0.8676470588235294,0.7034078807241747,0.5116779916413159
0.43,0.6111243733587969,0.4753063497957668,0.8556149732620321,0.7108626198083067,0.5141456644171795
0.44,0.6136363636363636,0.48068181818181815,0.8482620320855615,0.7163649272275471,0.5169425540768616
0.45,0.61474609375,0.48423076923076924,0.8415775401069518,0.7199148029818956,0.5175079412669326
0.46,0.6167487684729064,0.48829953198127923,0.8368983957219251,0.723819666311679,0.5198370134116304
0.47000000000000003,0.6188811188811189,0.49401913875598086,0.8282085561497327,0.729144479943202,0.5215386673145466
0.48000000000000004,0.6226605968639353,0.5008136696501221,0.8228609625668449,0.7351792687255946,0.5263409045678116
0.49,0.6233299075025694,0.5062604340567612,0.8108288770053476,0.7397941072062478,0.524941975120379
0.5,0.6257796257796258,0.5119047619047619,0.8048128342245989,0.744408945686901,0.5273841247030909
0.51,0.6269986893840105,0.5157395429064252,0.7994652406417112,0.7474263400780973,0.5280780970941037
0.52,0.6281473628412404,0.5204216073781291,0.7921122994652406,0.7509762158324459,0.5282166977252696
0.53,0.6308147351438559,0.5276653171390013,0.7840909090909091,0.7563010294639687,0.5303451381870907
0.54,0.631120783460283,0.5321100917431193,0.7754010695187166,0.759318423855165,0.5289051777835788
0.55,0.63111356728378,0.5379180405087141,0.7633689839572193,0.7630457933972311,0.5262979351413662
0.56,0.6321388577827548,0.5438342967244701,0.7546791443850267,0.7667731629392971,0.5258246252936782
0.5700000000000001,0.6337308347529812,0.5508390918065152,0.7459893048128342,0.7710330138445154,0.5260763033628584
0.5800000000000001,0.6282752663403397,0.5518462316641376,0.7292780748663101,0.770855520056798,0.5151649767512787
0.59,0.6291872997378386,0.5575632421270005,0.7219251336898396,0.7740504082357117,0.5148202521045326
0.6,0.6278795038393384,0.5624338624338624,0.7105614973262032,0.7763578274760383,0.5107064949095769
0.61,0.6253369272237196,0.566467715680955,0.6978609625668449,0.7779552715654952,0.504772514040987
0.62,0.625075711689885,0.5714285714285714,0.6898395721925134,0.7802626908058218,0.5027926896405559
0.63,0.625537139349294,0.5783200908059024,0.6811497326203209,0.7834575789847356,0.501594391876
0.64,0.6231657820793007,0.5846514352665495,0.6671122994652406,0.7857649982250621,0.49577348844542435
0.65,0.623409669211196,0.5946601941747572,0.6550802139037433,0.789847355342563,0.4936495710811236
0.66,0.6238709677419354,0.6028678304239401,0.6463903743315508,0.7930422435214768,0.4924512733165677
0.67,0.6179183135704874,0.6090909090909091,0.6270053475935828,0.7941072062477813,0.4815244389420604
0.68,0.6148671375714767,0.6188219363574814,0.6109625668449198,0.7967696130635428,0.47490650111268196
0.6900000000000001,0.6100650462170489,0.6252631578947369,0.5955882352941176,0.7978345757898474,0.4665403860916043
0.7000000000000001,0.6028541594152454,0.6289034132171387,0.5788770053475936,0.7974795882144124,0.45538739684106866
0.7100000000000001,0.6007067137809187,0.6371814092953523,0.5681818181818182,0.7994320198793042,0.4512171009271058
0.72,0.5974025974025974,0.6489028213166145,0.553475935828877,0.8019169329073482,0.4452110735765812
0.73,0.5923190546528804,0.6617161716171617,0.536096256684492,0.8040468583599574,0.43701457471252486
0.74,0.5828614571536428,0.6695576756287944,0.516042780748663,0.80386936457224,0.42396931530642046
0.75,0.5696594427244582,0.6764705882352942,0.4919786096256685,0.802626908058218,0.4069133607131503
0.76,0.5552025416997617,0.6839530332681018,0.4672459893048128,0.8012069577564785,0.3891889569220192
0.77,0.5422077922077922,0.6900826446280992,0.446524064171123,0.7997870074547391,0.3740252724843178
0.78,0.5302402651201327,0.6971677559912854,0.42780748663101603,0.7987220447284346,0.3606252730012432
0.79,0.5045200172191132,0.7085852478839177,0.3917112299465241,0.7957046503372383,0.33347053395812387
0.8,0.4805369127516778,0.7266576454668471,0.3589572192513369,0.7939297124600639,0.3101413661822214
0.81,0.461113667740451,0.740029542097489,0.33489304812834225,0.7921547745828896,0.2923604236720832
0.8200000000000001,0.4275466284074605,0.7512605042016807,0.29879679144385024,0.7875399361022364,0.26303072087835966
0.8300000000000001,0.3990074441687345,0.7745664739884393,0.26871657754010697,0.7850550230741924,0.24044204878225295
0.8400000000000001,0.35923829130211016,0.7807606263982103,0.23328877005347592,0.7790202342917998,0.2096058314357862
0.85,0.3183279742765273,0.8027027027027027,0.19852941176470587,0.7742279020234292,0.1808880391209166
0.86,0.25464788732394367,0.8100358422939068,0.15106951871657753,0.7651757188498403,0.1382613988519086
0.87,0.199764982373678,0.8252427184466019,0.11363636363636363,0.7582534611288605,0.104936508633947
0.88,0.1262376237623762,0.85,0.06818181818181818,0.749378771742989,0.06383189068060986
0.89,0.08402291534054743,0.88,0.04411764705882353,0.7445864394746183,0.041942683308219375
0.9,0.046936114732724896,0.9473684210526315,0.02406417112299465,0.7405040823571175,0.023580845845082618
0.91,0.013271400132714,0.9090909090909091,0.0066844919786096255,0.7360667376641817,0.006442829339653608
0.92,0.006657789613848202,0.8333333333333334,0.0033422459893048127,0.7351792687255946,0.003100583350348795
0.93,,,0.0,0.7344692935747249,0.0
0.9400000000000001,,,0.0,0.7344692935747249,0.0
0.9500000000000001,,,0.0,0.7344692935747249,0.0
0.9600000000000001,,,0.0,0.7344692935747249,0.0
0.97,,,0.0,0.7344692935747249,0.0
0.98,,,0.0,0.7344692935747249,0.0
0.99,,,0.0,0.7344692935747249,0.0
